UniversityType,Year,Metric,Value
All University Types,2020,Ph.D. Male,101450
All University Types,2019,Ph.D. Male,99659
All University Types,2018,Ph.D. Male,83960
All University Types,2017,Ph.D. Male,81705
All University Types,2016,Ph.D. Male,72797
Central University,2020,Ph.D. Male,12485
Central University,2019,Ph.D. Male,13253
Central University,2018,Ph.D. Male,8618
Central University,2017,Ph.D. Male,12394
Central University,2016,Ph.D. Male,10603
Central Open University,2020,Ph.D. Male,66
Central Open University,2019,Ph.D. Male,21
Central Open University,2018,Ph.D. Male,67
Central Open University,2017,Ph.D. Male,181
Central Open University,2016,Ph.D. Male,416
Institute of National Importance,2020,Ph.D. Male,28930
Institute of National Importance,2019,Ph.D. Male,27993
Institute of National Importance,2018,Ph.D. Male,21670
Institute of National Importance,2017,Ph.D. Male,19512
Institute of National Importance,2016,Ph.D. Male,18048
Deemed University-Government,2020,Ph.D. Male,3813
Deemed University-Government,2019,Ph.D. Male,5341
Deemed University-Government,2018,Ph.D. Male,5214
Deemed University-Government,2017,Ph.D. Male,6820
Deemed University-Government,2016,Ph.D. Male,5417
State Public University,2020,Ph.D. Male,25191
State Public University,2019,Ph.D. Male,27086
State Public University,2018,Ph.D. Male,27002
State Public University,2017,Ph.D. Male,24042
State Public University,2016,Ph.D. Male,22465
State Open University,2020,Ph.D. Male,141
State Open University,2019,Ph.D. Male,112
State Open University,2018,Ph.D. Male,124
State Open University,2017,Ph.D. Male,95
State Open University,2016,Ph.D. Male,82
Institute under State Legislature Act,2020,Ph.D. Male,117
Institute under State Legislature Act,2019,Ph.D. Male,223
Institute under State Legislature Act,2018,Ph.D. Male,59
Institute under State Legislature Act,2017,Ph.D. Male,177
Institute under State Legislature Act,2016,Ph.D. Male,220
State Private University,2020,Ph.D. Male,15153
State Private University,2019,Ph.D. Male,12063
State Private University,2018,Ph.D. Male,10426
State Private University,2017,Ph.D. Male,7083
State Private University,2016,Ph.D. Male,5565
Deemed University-Government Aided,2020,Ph.D. Male,1148
Deemed University-Government Aided,2019,Ph.D. Male,997
Deemed University-Government Aided,2018,Ph.D. Male,1705
Deemed University-Government Aided,2017,Ph.D. Male,1683
Deemed University-Government Aided,2016,Ph.D. Male,1155
Deemed University-Private,2020,Ph.D. Male,14374
Deemed University-Private,2019,Ph.D. Male,12538
Deemed University-Private,2018,Ph.D. Male,9075
Deemed University-Private,2017,Ph.D. Male,9718
Deemed University-Private,2016,Ph.D. Male,8826
State Private Open University,2020,Ph.D. Male,32
State Private Open University,2019,Ph.D. Male,32
All University Types,2020,Ph.D. Female,78880
All University Types,2019,Ph.D. Female,78217
All University Types,2018,Ph.D. Female,62513
All University Types,2017,Ph.D. Female,57513
All University Types,2016,Ph.D. Female,50915
Central University,2020,Ph.D. Female,10637
Central University,2019,Ph.D. Female,10941
Central University,2018,Ph.D. Female,6854
Central University,2017,Ph.D. Female,9658
Central University,2016,Ph.D. Female,7112
Central Open University,2020,Ph.D. Female,99
Central Open University,2019,Ph.D. Female,52
Central Open University,2018,Ph.D. Female,63
Central Open University,2017,Ph.D. Female,184
Central Open University,2016,Ph.D. Female,330
Institute of National Importance,2020,Ph.D. Female,13277
Institute of National Importance,2019,Ph.D. Female,13305
Institute of National Importance,2018,Ph.D. Female,10036
Institute of National Importance,2017,Ph.D. Female,8871
Institute of National Importance,2016,Ph.D. Female,7964
Deemed University-Government,2020,Ph.D. Female,2016
Deemed University-Government,2019,Ph.D. Female,2627
Deemed University-Government,2018,Ph.D. Female,2458
Deemed University-Government,2017,Ph.D. Female,2681
Deemed University-Government,2016,Ph.D. Female,2710
State Public University,2020,Ph.D. Female,22216
State Public University,2019,Ph.D. Female,25922
State Public University,2018,Ph.D. Female,23308
State Public University,2017,Ph.D. Female,19917
State Public University,2016,Ph.D. Female,19100
State Open University,2020,Ph.D. Female,139
State Open University,2019,Ph.D. Female,71
State Open University,2018,Ph.D. Female,74
State Open University,2017,Ph.D. Female,55
State Open University,2016,Ph.D. Female,35
Institute under State Legislature Act,2020,Ph.D. Female,66
Institute under State Legislature Act,2019,Ph.D. Female,58
Institute under State Legislature Act,2018,Ph.D. Female,14
Institute under State Legislature Act,2017,Ph.D. Female,23
Institute under State Legislature Act,2016,Ph.D. Female,36
State Private University,2020,Ph.D. Female,13366
State Private University,2019,Ph.D. Female,11343
State Private University,2018,Ph.D. Female,9160
State Private University,2017,Ph.D. Female,6284
State Private University,2016,Ph.D. Female,4590
Deemed University-Government Aided,2020,Ph.D. Female,1671
Deemed University-Government Aided,2019,Ph.D. Female,1654
Deemed University-Government Aided,2018,Ph.D. Female,1889
Deemed University-Government Aided,2017,Ph.D. Female,1366
Deemed University-Government Aided,2016,Ph.D. Female,1269
Deemed University-Private,2020,Ph.D. Female,15377
Deemed University-Private,2019,Ph.D. Female,12196
Deemed University-Private,2018,Ph.D. Female,8657
Deemed University-Private,2017,Ph.D. Female,8474
Deemed University-Private,2016,Ph.D. Female,7769
State Private Open University,2020,Ph.D. Female,16
State Private Open University,2019,Ph.D. Female,48
All University Types,2020,Ph.D. Both,180330
All University Types,2019,Ph.D. Both,177876
All University Types,2018,Ph.D. Both,146473
All University Types,2017,Ph.D. Both,139218
All University Types,2016,Ph.D. Both,123712
Central University,2020,Ph.D. Both,23122
