State,Year,Metric,Value
India,2020,Ph.D. Male,116756.0
India,2019,Ph.D. Male,111400.0
India,2018,Ph.D. Male,95015.0
India,2017,Ph.D. Male,92570.0
India,2016,Ph.D. Male,81795.0
Andaman and Nicobar Islands,2020,Ph.D. Male,7.0
Andaman and Nicobar Islands,2019,Ph.D. Male,5.0
Andaman and Nicobar Islands,2018,Ph.D. Male,44.0
Andaman and Nicobar Islands,2017,Ph.D. Male,42.0
Andaman and Nicobar Islands,2016,Ph.D. Male,64.0
Andhra Pradesh,2020,Ph.D. Male,4283.0
Andhra Pradesh,2019,Ph.D. Male,3837.0
Andhra Pradesh,2018,Ph.D. Male,3054.0
Andhra Pradesh,2017,Ph.D. Male,4007.0
Andhra Pradesh,2016,Ph.D. Male,2932.0
Arunachal Pradesh,2020,Ph.D. Male,470.0
Arunachal Pradesh,2019,Ph.D. Male,565.0
Arunachal Pradesh,2018,Ph.D. Male,396.0
Arunachal Pradesh,2017,Ph.D. Male,397.0
Arunachal Pradesh,2016,Ph.D. Male,365.0
Assam,2020,Ph.D. Male,3648.0
Assam,2019,Ph.D. Male,3214.0
Assam,2018,Ph.D. Male,2970.0
Assam,2017,Ph.D. Male,2633.0
Assam,2016,Ph.D. Male,2545.0
Bihar,2020,Ph.D. Male,2625.0
Bihar,2019,Ph.D. Male,1665.0
Bihar,2018,Ph.D. Male,2239.0
Bihar,2017,Ph.D. Male,1902.0
Bihar,2016,Ph.D. Male,1502.0
Chandigarh,2020,Ph.D. Male,323.0
Chandigarh,2019,Ph.D. Male,409.0
Chandigarh,2018,Ph.D. Male,353.0
Chandigarh,2017,Ph.D. Male,472.0
Chandigarh,2016,Ph.D. Male,629.0
Chhattisgarh,2020,Ph.D. Male,910.0
Chhattisgarh,2019,Ph.D. Male,824.0
Chhattisgarh,2018,Ph.D. Male,965.0
Chhattisgarh,2017,Ph.D. Male,740.0
Chhattisgarh,2016,Ph.D. Male,778.0
Delhi,2020,Ph.D. Male,8112.0
Delhi,2019,Ph.D. Male,8812.0
Delhi,2018,Ph.D. Male,4918.0
Delhi,2017,Ph.D. Male,7580.0
Delhi,2016,Ph.D. Male,5319.0
Goa,2020,Ph.D. Male,276.0
Goa,2019,Ph.D. Male,217.0
Goa,2018,Ph.D. Male,167.0
Goa,2017,Ph.D. Male,71.0
Goa,2016,Ph.D. Male,194.0
Gujarat,2020,Ph.D. Male,4819.0
Gujarat,2019,Ph.D. Male,4380.0
Gujarat,2018,Ph.D. Male,3589.0
Gujarat,2017,Ph.D. Male,3256.0
Gujarat,2016,Ph.D. Male,3035.0
Haryana,2020,Ph.D. Male,2046.0
Haryana,2019,Ph.D. Male,1810.0
Haryana,2018,Ph.D. Male,1827.0
Haryana,2017,Ph.D. Male,1632.0
Haryana,2016,Ph.D. Male,1817.0
Himachal Pradesh,2020,Ph.D. Male,1100.0
Himachal Pradesh,2019,Ph.D. Male,1027.0
Himachal Pradesh,2018,Ph.D. Male,1121.0
Himachal Pradesh,2017,Ph.D. Male,906.0
Himachal Pradesh,2016,Ph.D. Male,721.0
Jammu and Kashmir,2020,Ph.D. Male,2412.0
Jammu and Kashmir,2019,Ph.D. Male,2080.0
Jammu and Kashmir,2018,Ph.D. Male,1392.0
Jammu and Kashmir,2017,Ph.D. Male,1235.0
Jammu and Kashmir,2016,Ph.D. Male,991.0
Jharkhand,2020,Ph.D. Male,1738.0
Jharkhand,2019,Ph.D. Male,2469.0
Jharkhand,2018,Ph.D. Male,2108.0
Jharkhand,2017,Ph.D. Male,1158.0
Jharkhand,2016,Ph.D. Male,1157.0
Karnataka,2020,Ph.D. Male,5752.0
Karnataka,2019,Ph.D. Male,8422.0
Karnataka,2018,Ph.D. Male,8070.0
Karnataka,2017,Ph.D. Male,9103.0
Karnataka,2016,Ph.D. Male,6630.0
Kerala,2020,Ph.D. Male,3184.0
Kerala,2019,Ph.D. Male,2817.0
Kerala,2018,Ph.D. Male,2503.0
Kerala,2017,Ph.D. Male,2256.0
Kerala,2016,Ph.D. Male,2185.0
Jammu and Kashmir,2020,Ph.D. Male,6.0
Jammu and Kashmir,2019,Ph.D. Male,6.0
Madhya Pradesh,2020,Ph.D. Male,3676.0
Madhya Pradesh,2019,Ph.D. Male,3006.0
Madhya Pradesh,2018,Ph.D. Male,2383.0
Madhya Pradesh,2017,Ph.D. Male,2427.0
Madhya Pradesh,2016,Ph.D. Male,1988.0
Maharashtra,2020,Ph.D. Male,9358.0
Maharashtra,2019,Ph.D. Male,7122.0
Maharashtra,2018,Ph.D. Male,4923.0
Maharashtra,2017,Ph.D. Male,5365.0
Maharashtra,2016,Ph.D. Male,4382.0
Manipur,2020,Ph.D. Male,624.0
Manipur,2019,Ph.D. Male,538.0
Manipur,2018,Ph.D. Male,601.0
Manipur,2017,Ph.D. Male,332.0
Manipur,2016,Ph.D. Male,392.0
Meghalaya,2020,Ph.D. Male,469.0
Meghalaya,2019,Ph.D. Male,492.0
Meghalaya,2018,Ph.D. Male,475.0
Meghalaya,2017,Ph.D. Male,466.0
Meghalaya,2016,Ph.D. Male,471.0
Mizoram,2020,Ph.D. Male,551.0
Mizoram,2019,Ph.D. Male,479.0
Mizoram,2018,Ph.D. Male,415.0
Mizoram,2017,Ph.D. Male,347.0
Mizoram,2016,Ph.D. Male,362.0
Nagaland,2020,Ph.D. Male,279.0
Nagaland,2019,Ph.D. Male,270.0
Nagaland,2018,Ph.D. Male,235.0
Nagaland,2017,Ph.D. Male,222.0
Nagaland,2016,Ph.D. Male,94.0
Odisha,2020,Ph.D. Male,1947.0
Odisha,2019,Ph.D. Male,1923.0
Odisha,2018,Ph.D. Male,2052.0
Odisha,2017,Ph.D. Male,1671.0
Odisha,2016,Ph.D. Male,1388.0
Puducherry,2020,Ph.D. Male,271.0
Puducherry,2019,Ph.D. Male,291.0
Puducherry,2018,Ph.D. Male,510.0
