sector,job_count,avg_salary
#Create Digital Marketing Campaigns #Generating company Quality Blog Content #Understanding Social Media Best Practices #Executing Campaigns on Social Networks # Facebook #Linkedin #Youtube #Instagram,1,325000.0
#metro #track #blastless track #pway,1,775000.0
.Dot Net,1,550000.0
.NET,7,0.0
.NET Core,2,0.0
.NET Core 8,1,0.0
.NET Developer,1,0.0
.NET MAUI,1,3750000.0
.NET MVC,1,1000000.0
.NET core framework,1,0.0
.NET devloper,1,0.0
.NET framework,2,800000.0
.Net,128,0.0
.Net Architecture,1,2750000.0
.Net Core,126,0.0
.Net Developer,1,0.0
.Net Frame work,1,0.0
.Net Frame work / .Net Core,3,2225000.0
.Net core,6,1150000.0
.net,16,0.0
.net core,5,0.0
.net developer,1,450000.0
.net framework,1,2450000.0
.net full stack developer,1,0.0
.netcore,1,0.0
0365,2,575000.0
1. Deep understanding of SFE principles,1,387500.0
1. Excellent knowledge of HR functions and employment laws. 2. Strong communication,1,250000.0
1. Strong communication and negotiation skills 2. Lead generation and business development 3. Good command of communication and presentation 4. Market research and competitor analysis 5. Strong knowledge of industrial fasteners and hardware products,1,375000.0
1.Sales Leadership  2.Relationship Management  3.Team Management  4.Communication Skills  5.Training & Coaching  6.Analytical Thinking 7.Customer Focus  8.Product Knowledge  9.Compliance & Process Adherence  10.Strategic Planning,1,1050000.0
10+ years of experience in AI/ML,1,4020000.0
1040,1,0.0
1065,2,600000.0
10th,1,237500.0
12+ Years in IT Sales Enterprise Sales Global Market,1,1500000.0
12+yrs Fixture Fabrication Execution Enabling,1,0.0
12+yrs in HSE role with RENEWABLE/WIND POWER project domain,1,0.0
12+yrs specific skills in core construction equipment sales cranes piling rig tower crane scissor and boom lift Excavators,1,0.0
12C,1,0.0
12TH  / ITI / DIPLOMA / ANY DEGREE,1,195000.0
12c,6,0.0
12th,2,218750.0
132Kv,1,366000.0
14001,3,375000.0
17025,3,0.0
18,1,175000.0
2 Wheeler Sales,1,0.0
2-Wheeler Preferred.,1,225000.0
2. medical content writing,1,262500.0
2/4 Wheeler,2,0.0
2025,1,450000.0
2025 Pass Out,1,175000.0
21 Cfr Part 11,3,850000.0
220Kv,1,228000.0
24.7 AI,1,375000.0
24X7,1,0.0
2D,1,0.0
2D Animation,1,0.0
2D Drafting,2,255000.0
2D Drawing,3,0.0
2D Modeling,1,400000.0
2D design,1,1000000.0
2Nd Class Boiler,1,300000.0
2d,1,0.0
2d programming,1,0.0
3 Way Matching,2,0.0
3 to 5  years of HR experience .  Strong knowledge of labor laws and HR practices.  Excellent communication and interpersonal skills.  Proficiency in MS Office and HR software .  Good organizational and multitasking abilities.,1,0.0
30-60-90 feedback,1,0.0
360 Degree Marketing,2,168750.0
365,1,375000.0
3D,15,0.0
3D Animation,3,540000.0
3D Cad,3,425000.0
3D Design,1,0.0
3D Designing,2,318750.0
3D Geometry,1,0.0
3D Modeling,1,0.0
3D Modeling.,1,0.0
3D Modelling,1,72000.0
3D Printing,1,325000.0
3D Rendering,2,450000.0
3D Scanning,1,225000.0
3D Studio Max,1,325000.0
3D Visualization,3,0.0
3D artist,1,0.0
3D modeling,12,0.0
3DX,1,2000000.0
3Ds Max,3,300000.0
3LS Support,1,0.0
3Rd Party Collection,2,406250.0
3d,1,0.0
3d Max,1,0.0
3d model,13,0.0
3d modeling,44,0.0
3ds max,3,0.0
3gpp,3,0.0
4  yrs of proven track record of selling Tiles/Cement/Ply wood/Building Materials/Adhesives,1,0.0
4 RELIABLES,1,2750000.0
4Cs,1,475000.0
4G,1,0.0
5 AXIS MACHINE OPERATING,1,0.0
5 axis,1,300000.0
