State,Area,Year,unemployment_rate,estimated_employed,labour_participation_rate
Andhra Pradesh,Rural,2019.0,3.87,12040958.75,43.32375
Andhra Pradesh,Rural,2020.0,7.734999999999999,11498776.166666666,42.48333333333333
Andhra Pradesh,Urban,2019.0,5.7837499999999995,4763127.625,36.86625
Andhra Pradesh,Urban,2020.0,14.286666666666667,4148210.1666666665,34.35
Assam,Rural,2019.0,4.741428571428571,9909392.285714285,48.33857142857143
Assam,Rural,2020.0,4.140000000000001,9446733.0,45.3
Assam,Urban,2019.0,7.890000000000001,1657059.125,44.2175
Assam,Urban,2020.0,8.353333333333333,1561365.3333333333,41.32833333333333
Bihar,Rural,2019.0,10.97625,23406059.875,38.70125
Bihar,Rural,2020.0,24.495,19760540.0,38.038333333333334
Bihar,Urban,2019.0,16.78875,3069645.0,38.54875
Bihar,Urban,2020.0,26.77,2647402.8333333335,37.01333333333333
Chandigarh,Urban,2019.0,15.822500000000002,320835.25,39.92125
Chandigarh,Urban,2020.0,16.330000000000002,308823.25,38.1675
Chhattisgarh,Rural,2019.0,6.24125,6659486.625,43.56125
Chhattisgarh,Rural,2020.0,7.1450000000000005,6291281.5,40.95166666666666
Chhattisgarh,Urban,2019.0,8.4525,2307288.5,46.25625
Chhattisgarh,Urban,2020.0,16.385,1836011.6666666667,39.074999999999996
Delhi,Rural,2019.0,13.32,157572.625,39.0225
Delhi,Rural,2020.0,17.843333333333334,135818.16666666666,34.288333333333334
Delhi,Urban,2019.0,14.18125,5635350.125,43.855000000000004
Delhi,Urban,2020.0,22.46666666666667,4402011.5,36.88
Goa,Rural,2019.0,7.42375,172268.75,39.4625
Goa,Rural,2020.0,10.3225,160200.75,37.635
Goa,Urban,2019.0,11.26875,281523.375,39.910000000000004
Goa,Urban,2020.0,7.9375,290065.0,39.1175
Gujarat,Rural,2019.0,4.4087499999999995,13807921.125,52.03375
Gujarat,Rural,2020.0,7.928333333333334,12451856.833333334,48.068333333333335
Gujarat,Urban,2019.0,5.55,10005099.625,43.33
Gujarat,Urban,2020.0,9.891666666666667,9006841.833333334,39.91833333333333
Haryana,Rural,2019.0,21.4325,4848158.25,45.177499999999995
Haryana,Rural,2020.0,29.786666666666665,4385271.166666667,45.278333333333336
Haryana,Urban,2019.0,24.165,2614769.5,41.23875
