,Table 50: ,Enrolment by University Type at various levels during last 5 years,,,,,,,,,Enrolment by University Type at various levels during last 5 years,,,,,,,,,Enrolment by University Type at various levels during last 5 years,,,,,,,,
"Sl. 
No.",State/UTs,Ph.D.,,,M.Phil.,,,Post Graduate,,,Under Graduate,,,PG Diploma,,,Diploma,,,Certificate,,,Integrated,,,Grand Total,,
,,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,All University Types,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,101450,78880,180330,4654,7423,12077,1087884,1236301,2324185,3448134,2320019,5768153,95077,73561,168638,188412,124219,312631,50842,33396,84238,102031,75909,177940,5078484,3949708,9028192
,2019-20,99659,78217,177876,6461,9413,15874,983466,1113085,2096551,3160539,2061807,5222346,74632,63053,137685,171993,104165,276158,32798,28051,60849,87722,63307,151029,4617270,3521098,8138368
,2018-19,83960,62513,146473,7850,10799,18649,891697,997794,1889491,2928657,1898976,4827633,82634,67497,150131,169584,93413,262997,30118,29173,59291,77518,54612,132130,4272018,3214777,7486795
,2017-18,81705,57513,139218,7424,10488,17912,1006848,968276,1975124,2796525,1737629,4534154,81900,71557,153457,175091,88806,263897,29307,38717,68024,67630,45981,113611,4246430,3018967,7265397
,2016-17,72797,50915,123712,10661,14374,25035,941467,1016658,1958125,2663542,1749997,4413539,78041,58972,137013,170392,76837,247229,40433,25260,65693,60963,40975,101938,4038296,3033988,7072284
1,Central University,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,12485,10637,23122,1294,1127,2421,67880,65510,133390,266929,249701,516630,2492,1885,4377,6165,2597,8762,2529,1296,3825,6316,4933,11249,366090,337686,703776
,2019-20,13253,10941,24194,1193,1083,2276,63195,60610,123805,277315,262955,540270,2713,2235,4948,6127,2266,8393,3275,1497,4772,6295,5072,11367,373366,346659,720025
,2018-19,8618,6854,15472,2757,3050,5807,57351,51131,108482,282489,261661,544150,2675,1738,4413,6708,2004,8712,3207,1261,4468,6982,6096,13078,370787,333795,704582
,2017-18,12394,9658,22052,1804,1722,3526,57914,51820,109734,286779,273957,560736,2132,1678,3810,6276,2089,8365,2347,1244,3591,6282,5583,11865,375928,347751,723679
,2016-17,10603,7112,17715,3987,3987,7974,59464,48563,108027,292003,266055,558058,2461,1555,4016,6710,1837,8547,2641,1144,3785,6082,5214,11296,383951,335467,719418
2,Central Open University,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,66,99,165,,,,183991,225191,409182,469328,271482,740810,25544,14798,40342,19080,42707,61787,,,,,,,698009,554277,1252286
,2019-20,21,52,73,1,,1,169982,226624,396606,447586,260436,708022,18123,10989,29112,9732,23299,33031,223,268,491,,,,645668,521668,1167336
,2018-19,67,63,130,11,13,24,153742,202662,356404,395161,231907,627068,17723,10389,28112,9074,13581,22655,383,305,688,,,,576161,458920,1035081
,2017-18,181,184,365,32,24,56,194363,146381,340744,338319,142411,480730,13071,7938,21009,8143,10078,18221,55,95,150,,,,554164,307111,861275
,2016-17,416,330,746,38,45,83,137091,181202,318293,296523,159590,456113,19162,8768,27930,4236,8292,12528,159,94,253,,,,457625,358321,815946
3,Institute of National Importance,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,28930,13277,42207,56,189,245,49411,19698,69109,127616,39382,166998,1230,510,1740,355,153,508,2036,740,2776,17467,5463,22930,227101,79412,306513
,2019-20,27993,13305,41298,78,172,250,62418,51405,83823,112467,32401,144868,992,517,1509,242,90,332,1775,567,2342,14819,4095,18914,220784,72552,293336
,2018-19,21670,10036,31706,32,64,96,37382,12819,50201,96724,26736,123460,1882,575,2457,14,58,72,1793,544,2337,14255,3847,18102,173752,54679,228431
,2017-18,19512,8871,28383,39,46,85,29894,10626,40520,91439,25883,117322,56,47,103,16,55,71,9,6,15,13337,3361,16698,154302,48895,203197
,2016-17,18048,7964,26012,78,98,176,29414,11916,41330,88227,25458,113685,134,81,215,14,79,93,11,6,17,12205,2931,15136,148131,48533,196664
4,Deemed University-Government,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,3813,2016,5829,57,54,111,8290,4613,12903,11192,5074,16266,597,218,815,1576,460,2036,494,251,745,973,224,1197,26992,12910,39902
,2019-20,5341,2627,7968,138,144,282,7663,4793,12456,10000,4539,14539,488,239,727,1609,515,2124,374,187,561,839,231,1070,26452,13275,39727
,2018-19,5214,2458,7672,202,158,360,6306,4171,10477,9881,4607,14488,502,261,763,1828,576,2404,354,118,472,625,235,860,24912,12584,37496
,2017-18,6820,2681,9501,164,166,330,7631,4099,11730,11888,4138,16026,906,394,1300,1818,554,2372,353,101,454,935,273,1208,30515,12406,42921
,2016-17,5417,2710,8127,170,174,344,8383,4031,12414,12768,4272,17040,813,352,1165,1832,486,2318,334,98,432,1649,670,2319,31366,12793,44159
5,State Public University,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,25191,22216,47407,2906,5220,8126,399891,587200,987091,810646,737761,1548407,26444,23192,49636,39121,23816,62937,9205,15599,24804,25096,24576,49672,1338500,1439580,2778080
,2019-20,27086,25922,53008,3925,6442,10367,387245,540175,927420,768433,629094,1397527,29517,27798,57315,39233,27092,66325,10200,14557,24757,22021,19733,41754,1287660,1290813,2578473
,2018-19,27002,23308,50310,3969,5933,9902,368065,495889,863954,681006,577931,1258937,28839,27724,56563,48627,30894,79521,13639,16851,30490,20421,17506,37927,1191568,1196036,2387604
