,Table 44:,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,
"Sl. 
No.",State/UTs,Ph.D.,,,M.Phil.,,,Post Graduate,,,Under Graduate,,,PG Diploma,,,Diploma,,,Certificate,,,Integrated,,,Grand Total,,
,,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,116756,95086,211842,6345,10399,16744,1496213,1955015,3451228,15009256,14687217,29696473,69158,60147,129305,1797136,1021519,2818655,52362,47042,99404,211932,173256,385188,18759158,18049681,36808839
,2019-20,111400,91049,202449,9010,14855,23865,1355452,1835637,3191089,13817639,13911801,27729440,65483,62800,128283,1681882,870620,2552502,55369,69754,125123,167938,128748,296686,17264173,16985264,34249437
,2018-19,95015,74102,169117,11623,19069,30692,1306690,1736745,3043435,13586745,13542118,27128863,64495,60825,125320,1732260,836941,2569201,55074,64805,119879,138422,102391,240813,16990324,16436996,33427320
,2017-18,92570,68842,161412,12287,21822,34109,1278165,1657638,2935803,13484766.15,12977172.6,26461938.74,75195,69989,145184,1765994,819196,2585190,40649,50972,91621,114233,81293,195526,16863859,15746925,32610784
,2016-17,81795,59242,141037,16464,26803,43267,1266377,1542745,2809122,13383665,12307907,25691572,72222,63047,135269,1758429,754664,2513093,49518,59531,109049,102267,71448,173715,16730737,14885387,31616124
1,Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,7,12,19,,,,69,283,352,2473,3423,5896,14,,14,601,414,1015,39,33,72,145,224,369,3348,4389,7737
,2019-20,5,9,14,,,,69,283,352,1933,2757,4690,,,,293,231,524,46,36,82,145,224,369,2491,3540,6031
,2018-19,44,23,67,,,,133,322,455,2322,3573,5895,,,,525,325,850,,,,46,142,188,3070,4385,7455
,2017-18,42,26,68,,,,125,313,438,2178,3145,5323,,,,416,257,673,,,,26,91,117,2787,3832,6619
,2016-17,64,21,85,,,,130,318,448,2165,2974,5139,,,,452,238,690,,,,24,91,115,2835,3642,6477
2,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,4283,2708,6991,70,48,118,89655,91447,181102,765880,704221,1470101,187,135,322,96256,66003,162259,356,442,798,8429,4528,12957,965116,869532,1834648
,2019-20,3837,2879,6716,175,102,277,88923,85176,174099,671286,602648,1273934,792,468,1260,92704,59683,152387,3921,6903,10824,8650,4362,13012,870288,762221,1632509
,2018-19,3054,1927,4981,249,182,431,93827,82209,176036,653301,567063,1220364,837,498,1335,97199,63905,161104,327,636,963,7389,3578,10967,856183,719998,1576181
,2017-18,4007,2282,6289,555,342,897,103187,85391,188578,660999,549687,1210686.002,996,533,1529,100748,66008,166756,258,529,787,7132,2900,10032,877883,707671,1585554
,2016-17,2932,1740,4672,790,472,1262,104560,81112,185672,625596,503014,1128610,928,494,1422,98834,64531,163365,142,479,621,6378,2536,8914,840160,654378,1494538
3,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,470,258,728,56,74,130,4281,3678,7959,19091,15895,34986,87,68,155,1370,1081,2451,310,162,472,1196,726,1922,26861,21942,48803
,2019-20,565,421,986,57,88,145,2874,2296,5170,16058,13373,29431,59,59,118,1263,583,1846,299,119,418,1015,628,1643,22190,17567,39757
,2018-19,396,280,676,47,77,124,2158,1635,3793,14019,12954,26973,73,40,113,814,554,1368,265,84,349,308,94,402,18080,15718,33798
,2017-18,397,247,644,43,67,110,1659,1521,3180,13539,12775,26314,45,30,75,1188,648,1836,246,79,325,177,49,226,17294,15416,32710
,2016-17,365,270,635,48,68,116,1439,1417,2856,13139,11893,25032,71,51,122,672,431,1103,266,74,340,59,10,69,16059,14214,30273
4,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,3648,2356,6004,126,180,306,13634,20125,33759,282547,295148,577695,389,630,1019,12627,9364,21991,387,785,1172,2459,2783,5242,315817,331371,647188
,2019-20,3214,2413,5627,245,371,616,12716,17995,30711,241521,259643,501164,473,576,1049,10655,7374,18029,739,1165,1904,2446,2247,4693,272009,291784,563793
,2018-19,2970,1970,4940,192,272,464,13127,17545,30672,265072,276843,541915,681,737,1418,8613,5531,14144,753,1025,1778,2377,2172,4549,293785,306095,599880
,2017-18,2633,1704,4337,129,224,353,12126,15972,28097,251898,263822,515720,686,733,1419,6877,4815,11692,1077,1352,2429,2630,2651,5281,278056,291273,569329
,2016-17,2545,1573,4118,76,152,228,10797,14105,24902,248429,248071,496500,696,556,1252,6971,4648,11619,963,1322,2285,2472,2476,4948,272949,272903,545852
5,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,2625,1183,3808,50,23,73,50051,48189,98240,1057661,864953,1922614,886,459,1345,56644,48657,105301,3264,2885,6149,2592,1333,3925,1173773,967682,2141455
,2019-20,1665,1034,2699,55,15,70,37369,35886,73255,801196,647494,1448690,788,401,1189,42497,25277,67774,4024,2562,6586,2258,1026,3284,889852,713695,1603547
,2018-19,2239,1123,3362,,,,49296,40098,89394,760584,580133,1340717,749,373,1122,34380,17715,52095,2705,1439,4144,1952,896,2848,851905,641777,1493682
,2017-18,1902,954,2856,,,,37001,32460,69461,723821,550366,1274187,681,272,953,27280,11228,38508,2336,1075,3411,1512,788,2300,794533,597143,1391676
